Wavelength,RGB,RB,White
466.746,3871.95,1303.97,109.13
467.099,3797.67,1249.54,103.41
467.452,3770.81,1206.83,109.27
467.806,3790.38,1186.11,99.56
468.159,3762.1,1148.68,98.27
468.512,3783.52,1133.97,99.7
468.865,3736.24,1094.68,97.27
469.218,3723.24,1067.11,94.98
469.571,3684.67,1039.97,94.41
469.924,3638.24,1008.68,90.27
470.277,3607.67,982.83,90.7
470.63,3545.1,940.11,90.27
470.983,3516.95,921.4,90.41
471.336,3488.52,907.54,88.98
471.688,3465.52,868.83,91.41
472.041,3425.24,852.4,87.98
472.394,3298.1,806.11,87.7
472.747,3288.67,784.4,85.98
473.099,3208.52,750.68,84.98
473.452,3178.38,731.4,85.7
473.804,3115.38,705.97,84.41
474.157,3050.81,681.97,84.56
474.509,3009.67,658.97,82.41
474.862,3003.52,651.11,82.56
475.214,2886.52,609.11,81.98
475.567,2843.95,592.4,81.41
475.919,2782.38,568.4,80.84
476.271,2760.1,551.97,80.98
476.624,2668.95,530.83,79.27
476.976,2673.24,514.83,82.7
477.328,2644.52,502.68,81.7
477.68,2553.38,482.11,81.98
478.032,2516.1,464.4,81.98
478.385,2488.81,452.54,81.27
478.737,2429.24,437.25,81.98
479.089,2393.81,417.83,80.41
479.441,2342.52,405.4,80.98
479.793,2331.81,397.54,84.98
480.145,2279.38,386.97,81.7
480.496,2253.52,370.83,79.84
480.848,2226.24,361.83,84.41
481.2,2191.24,350.97,82.56
481.552,2161.67,338.68,84.56
481.904,2110.95,326.25,81.84
482.255,2091.38,321.11,88.27
482.607,2058.81,312.11,87.41
482.959,2023.81,296.83,91.41
483.31,2018.1,292.11,88.41
483.662,1968.1,281.83,92.98
484.013,1952.1,271.25,94.98
484.365,1931.24,265.83,94.41
484.716,1911.95,257.11,96.41
485.068,1881.52,251.25,102.41
485.419,1848.52,237.25,98.98
485.77,1844.1,233.25,103.84
486.122,1812.81,227.97,106.98
486.473,1800.1,222.54,106.7
486.824,1776.52,215.54,108.98
487.175,1755.67,209.25,114.98
487.526,1738.1,201.11,114.41
487.878,1722.24,191.25,116.27
488.229,1731.95,187.54,120.13
488.58,1708.1,180.4,124.7
488.931,1694.81,173.25,131.41
489.282,1686.38,171.11,129.13
489.633,1683.24,161.11,137.13
489.983,1675.1,159.25,139.84
490.334,1669.67,153.83,146.56
490.685,1663.52,150.4,148.27
491.036,1659.24,140.25,154.41
491.387,1669.1,141.68,159.41
491.737,1664.38,132.97,164.98
492.088,1665.95,129.4,171.98
492.439,1663.1,125.97,177.13
492.789,1678.95,122.11,181.13
493.14,1666.24,115.97,187.56
493.49,1704.1,111.4,194.41
493.841,1690.81,109.68,202.84
494.191,1709.67,105.4,212.27
494.542,1726.1,103.97,219.27
494.892,1721.95,98.68,223.7
495.242,1735.24,95.11,230.98
495.592,1754.52,91.54,241.27
495.943,1766.95,89.68,247.98
496.293,1785.38,85.97,257.84
496.643,1804.67,80.83,263.13
496.993,1812.38,81.11,278.13
497.343,1855.67,78.83,284.27
497.693,1868.52,77.83,294.84
498.043,1888.52,75.25,303.27
498.393,1930.24,73.4,319.98
498.743,1951.38,71.83,327.27
499.093,1958.24,69.11,342.41
499.443,1989.38,67.25,350.84
499.793,2008.81,66.54,362.84
500.143,2029.38,62.68,376.56
500.493,2051.81,63.54,385.56
500.842,2084.67,59.54,405.13
501.192,2126.24,58.4,422.41
501.542,2135.24,56.68,422.7
501.891,2174.1,55.4,440.56
502.241,2199.1,55.54,455.98
502.59,2219.38,52.54,467.41
502.94,2268.1,52.83,488.56
503.289,2297.24,51.4,501.27
503.639,2298.81,48.97,520.41
503.988,2352.1,48.68,537.41
504.337,2383.81,51.11,559.56
504.687,2403.95,46.25,568.56
505.036,2434.38,46.25,585.13
505.385,2445.52,45.83,599.13
505.734,2484.67,43.54,623.56
506.084,2505.38,44.4,645.98
506.433,2519.52,43.83,656.7
506.782,2564.67,41.97,686.7
507.131,2580.1,39.97,703.7
507.48,2600.24,39.68,724.27
507.829,2622.1,39.97,740.27
508.178,2624.52,37.54,763.56
508.527,2652.52,36.4,780.56
508.875,2672.67,37.25,814.27
509.224,2697.67,37.68,839.41
509.573,2697.67,35.97,855.27
509.922,2703.38,34.68,874.7
510.27,2716.24,34.4,900.27
510.619,2716.38,34.25,926.7
510.968,2742.67,33.97,959.13
511.316,2730.95,32.25,979.13
511.665,2735.38,32.54,1000.13
512.013,2720.24,31.4,1027.56
512.362,2710.95,29.83,1047.7
512.71,2718.38,28.83,1085.98
513.059,2706.95,29.68,1105.13
513.407,2714.81,27.83,1138.27
513.755,2700.52,30.83,1158.84
514.104,2674.1,27.54,1190.7
514.452,2668.67,28.54,1219.13
514.8,2650.24,26.83,1251.13
515.148,2626.95,28.11,1274.13
515.496,2628.95,28.25,1308.98
515.844,2597.95,27.68,1325.84
516.192,2566.81,28.11,1367.41
516.54,2541.1,26.83,1385.41
516.888,2514.81,25.83,1412.41
517.236,2484.38,25.83,1438.84
517.584,2470.81,25.97,1479.56
517.932,2435.81,24.68,1501.7
518.28,2404.81,24.4,1528.13
518.628,2376.24,24.97,1564.98
518.975,2345.52,23.68,1585.27
519.323,2296.1,25.68,1614.41
519.671,2268.52,23.97,1653.84
520.018,2235.24,25.4,1667.27
