Wavelength,RGB,RB,White
680.463,14.24,13.54,495.98
680.79,15.95,13.68,491.41
681.117,15.38,14.11,484.56
681.444,15.81,14.25,481.56
681.772,14.67,13.97,477.41
682.099,14.81,13.68,466.7
682.426,15.1,14.54,464.27
682.753,15.67,13.83,459.41
683.08,14.81,14.68,448.56
683.407,14.52,14.54,441.56
683.734,13.38,14.4,444.7
684.06,14.67,14.4,441.84
684.387,13.81,12.97,432.56
684.714,14.38,13.68,428.27
685.041,15.52,16.54,418.84
685.367,13.52,13.97,417.56
685.694,13.1,12.68,413.7
686.02,14.52,13.25,407.27
686.347,13.1,13.83,403.98
686.673,15.52,12.68,402.84
687,12.95,14.97,394.27
687.326,15.52,14.25,391.27
687.652,14.24,13.54,386.7
687.979,14.95,13.25,382.84
688.305,15.38,13.4,378.98
688.631,14.81,12.97,371.84
688.957,13.38,13.4,371.98
689.283,14.67,12.54,364.7
689.609,13.95,12.54,359.41
689.935,13.52,12.54,361.56
690.261,12.24,12.54,356.13
690.587,13.52,13.97,349.41
690.913,13.38,13.54,352.13
691.239,16.24,13.97,346.98
691.565,13.52,12.97,336.84
691.89,13.81,13.25,334.13
692.216,13.67,13.54,331.13
692.542,15.24,14.4,328.13
692.867,13.1,12.4,324.41
693.193,13.52,13.11,320.7
693.518,13.38,13.97,315.7
693.843,14.1,14.11,316.56
694.169,14.95,13.11,308.7
694.494,13.38,12.54,304.41
694.819,12.67,12.54,304.7
695.145,14.67,13.54,306.7
695.47,13.95,12.4,294.7
695.795,13.81,10.97,295.56
696.12,13.67,14.4,293.41
696.445,12.81,13.54,293.41
696.77,15.24,13.68,290.13
697.095,14.52,12.68,284.7
697.42,12.81,12.25,279.84
697.745,13.38,12.54,271.84
698.07,15.38,13.68,280.98
698.394,13.24,13.11,268.56
698.719,12.81,13.11,267.7
699.044,12.81,13.4,263.27
699.368,13.95,12.97,260.27
699.693,14.1,12.4,259.7
700.017,12.95,11.68,259.98
700.342,12.95,11.4,253.13
700.666,12.67,11.83,252.41
700.991,12.1,12.68,250.98
701.315,11.38,12.4,246.84
701.639,13.38,12.54,244.7
701.963,13.67,12.54,242.98
702.288,14.1,12.4,238.27
702.612,12.52,11.97,235.98
702.936,11.81,12.25,238.7
703.26,12.81,11.68,234.41
703.584,13.67,13.54,229.41
703.908,12.38,14.11,228.84
704.232,14.38,12.54,228.13
704.556,13.67,11.97,221.98
704.879,13.38,12.97,216.13
705.203,13.67,13.97,222.7
705.527,13.67,13.54,215.98
705.85,13.95,12.54,216.98
706.174,14.38,12.83,217.7
706.498,12.95,13.68,212.84
706.821,11.81,14.11,207.84
707.145,12.1,13.4,206.27
707.468,12.38,12.54,206.56
707.791,11.67,11.54,199.56
708.115,13.67,12.25,199.7
708.438,14.24,12.25,196.7
708.761,12.1,12.83,195.13
709.084,12.52,13.54,195.27
709.407,12.38,13.97,192.84
709.731,12.24,12.83,188.13
710.054,14.67,12.11,190.41
710.377,12.81,11.97,185.13
710.699,12.52,11.68,186.41
711.022,13.1,12.25,184.84
711.345,12.95,14.11,180.84
711.668,11.67,12.97,179.41
711.991,13.95,13.97,176.98
712.313,13.1,12.4,179.13
712.636,13.81,13.25,173.13
712.959,12.1,13.11,172.27
713.281,14.81,12.83,178.13
713.604,13.95,13.68,171.13
713.926,13.38,14.68,163.98
714.249,12.1,12.68,164.27
714.571,13.24,12.25,164.84
714.893,12.38,11.97,161.98
715.215,12.38,11.97,162.41
715.538,12.38,12.83,159.98
715.86,13.1,13.68,157.41
716.182,14.1,13.25,154.27
716.504,13.81,13.11,154.13
716.826,12.67,13.11,152.7
717.148,13.81,11.97,151.27
717.47,11.38,12.25,150.27
717.792,11.38,13.11,149.13
718.114,10.81,13.11,146.84
718.435,11.95,12.54,147.41
718.757,13.1,11.97,147.41
719.079,10.67,12.25,140.7
719.4,11.67,13.11,141.84
719.722,13.38,12.97,143.13
720.043,12.1,12.11,136.41
720.365,12.95,11.68,138.7
720.686,13.1,13.11,134.98
721.008,12.95,12.25,138.13
721.329,14.81,13.97,138.98
721.65,13.1,12.54,136.98
721.972,13.52,11.68,131.84
722.293,14.24,11.68,131.13
722.614,12.24,13.11,125.56
722.935,12.24,12.68,129.27
723.256,13.24,11.83,125.56
723.577,14.81,11.54,124.98
723.898,12.81,12.11,125.98
724.219,12.81,10.97,124.56
724.54,13.24,12.54,121.7
724.86,11.52,12.11,120.13
725.181,12.38,13.97,118.7
725.502,13.1,12.97,119.84
725.823,11.95,11.25,119.13
726.143,11.38,11.4,115.27
726.464,11.95,13.4,114.7
726.784,11.24,12.25,113.56
727.105,12.38,12.11,111.7
727.425,14.67,12.25,108.84
727.745,12.24,11.83,109.41
728.066,13.24,11.97,109.41
728.386,14.24,10.83,107.56
728.706,12.24,11.97,107.56
729.026,11.95,12.25,104.84
729.346,11.81,11.83,103.27
729.666,13.81,12.4,101.13
729.986,12.81,11.97,104.7
730.306,13.1,12.25,102.27
730.626,13.24,12.97,100.56
730.946,12.24,14.25,99.7
731.266,11.38,12.25,96.27
731.586,12.1,12.11,95.41
731.905,14.1,11.54,98.41
732.225,12.95,12.54,95.27
732.545,12.52,12.83,93.98
732.864,11.52,12.54,91.84
733.184,11.38,13.4,91.27
733.503,12.24,13.25,92.98
733.823,11.95,13.68,88.41
734.142,12.81,13.68,89.7
734.461,11.81,12.83,87.13
734.781,13.38,11.97,86.7
735.1,12.95,13.11,86.27
735.419,11.52,13.4,86.84
735.738,13.52,12.4,84.84
736.057,12.81,11.97,83.13
736.376,12.67,11.97,84.41
736.695,11.24,11.68,81.98
737.014,11.52,12.4,82.41
737.333,13.67,12.11,79.7
737.652,12.81,12.54,81.41
737.971,12.1,11.4,78.7
738.289,11.52,11.83,76.41
738.608,12.67,12.25,76.56
738.927,12.95,11.4,74.41
739.245,15.52,12.11,79.56
739.564,13.52,11.83,73.27
739.882,10.81,11.68,73.41
740.201,13.52,11.54,72.56
740.519,13.67,12.4,72.98
740.837,12.38,12.83,73.13
741.156,13.95,13.83,75.13
741.474,13.1,12.83,69.84
741.792,12.67,12.25,68.84
742.11,11.38,11.83,63.98
742.428,12.38,10.97,66.7
742.746,12.52,11.83,64.13
743.064,11.38,13.54,66.98
743.382,12.52,11.97,63.7
743.7,12.95,12.97,65.56
744.018,13.81,12.54,62.84
744.336,13.24,11.54,64.7
744.653,12.24,11.4,62.84
744.971,13.24,11.83,60.84
745.289,11.24,11.11,62.7
745.606,12.95,12.54,61.27
745.924,11.52,12.54,56.98
746.241,11.1,12.97,58.13
746.559,13.24,13.11,57.7
746.876,12.24,13.11,57.13
747.193,11.95,11.68,55.84
747.51,12.81,12.25,58.41
747.828,12.1,12.68,56.7
748.145,12.24,13.11,56.13
748.462,12.81,11.97,55.98
748.779,13.24,13.25,54.7
749.096,13.38,12.97,53.7
749.413,13.52,12.68,53.56
749.73,13.24,11.11,52.27
750.047,11.52,13.11,50.98
