PAR,Y(II),Y(II)StDev,Y(NPQ),Y(NPQ)StDev,NPQ,NPQStDev,qN,qNStDev,qP,qPStDev,qL,qLStDev,ETR,ETRStDev
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,0.7153333333333333,0.007363574011458224,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.6956666666666665,0.007039570693980956,0.007,0.002160246899469287,0.024333333333333332,0.00805536398239638,0.03,0.010033277962194942,0.9793333333333334,0.0012472191289246385,0.9316666666666666,0.0024944382578493064,0.3,0.0
2.0,0.6966666666666667,0.007845734863959935,0.0033333333333333335,0.0024944382578492943,0.011666666666666667,0.008498365855987974,0.014666666666666666,0.010656244908763855,0.976,0.003741657386773945,0.9206666666666666,0.010077477638553954,0.6,0.0
11.0,0.6713333333333334,0.007930251502246926,0.0033333333333333335,0.0024944382578492943,0.010333333333333335,0.007586537784494029,0.013,0.009626352718795767,0.9386666666666666,0.0065996632910744,0.8126666666666668,0.01517307556898802,3.1333333333333333,0.047140452079103216
31.0,0.6043333333333334,0.017326921891156012,0.004333333333333334,0.003299831645537222,0.011333333333333334,0.008379870059984357,0.014,0.010424330514074594,0.844,0.02092844953645637,0.6066666666666667,0.03561210780369824,7.866666666666666,0.24944382578492927
55.0,0.5756666666666667,0.01665999866613307,0.009333333333333334,0.007039570693980959,0.022999999999999996,0.017107503227141784,0.028,0.02084866102814919,0.8063333333333333,0.021234144411510666,0.5446666666666667,0.032876874682501236,13.300000000000002,0.3741657386773944
80.0,0.5633333333333332,0.01184154644555442,0.015000000000000001,0.011224972160321825,0.036333333333333336,0.0270842307543625,0.043666666666666666,0.032520079267362736,0.7923333333333332,0.018080068829760806,0.5253333333333333,0.0285228952870419,18.9,0.408248290463863
114.0,0.5496666666666666,0.0090308114560961,0.01966666666666667,0.01438363267359428,0.04733333333333334,0.03487437773240151,0.056333333333333326,0.0413306450738701,0.7753333333333333,0.01583947249402228,0.502,0.026280537792569364,26.333333333333332,0.41096093353126495
150.0,0.541,0.006480740698407866,0.02333333333333333,0.017211107524567445,0.05566666666666667,0.04110420362390635,0.06533333333333334,0.04800925836637022,0.7656666666666666,0.014613540144521956,0.48966666666666664,0.024957742063113204,34.1,0.4320493798938569
195.0,0.5273333333333334,0.005185449728701353,0.026333333333333334,0.019362047641943474,0.06133333333333333,0.04579179936286506,0.07133333333333335,0.052772046472435476,0.7483333333333334,0.01347425528760517,0.4673333333333334,0.023976840677805922,43.199999999999996,0.42426406871192784
260.0,0.49866666666666665,0.0041096093353126546,0.028666666666666663,0.021296843793284382,0.06333333333333334,0.04739432689913659,0.07333333333333335,0.054615830021056064,0.709,0.01373559851869102,0.41900000000000004,0.022105806175452332,54.46666666666667,0.4921607686744479
345.0,0.45366666666666666,0.004642796092394711,0.030666666666666665,0.02289589968143253,0.06166666666666667,0.04670712531890135,0.07133333333333335,0.05354333654983493,0.644,0.013589211407092966,0.3486666666666666,0.019396448701301548,65.7,0.6480740698407843
440.0,0.4023333333333334,0.0061282587702833945,0.030666666666666665,0.02289589968143253,0.05633333333333334,0.042897811391983884,0.066,0.04971921157862421,0.5703333333333332,0.014613540144521946,0.28099999999999997,0.016673332000533062,74.36666666666667,1.1440668201153665
556.0,0.34733333333333327,0.007039570693980965,0.030666666666666665,0.02289589968143253,0.050333333333333334,0.03805551500403354,0.059666666666666666,0.04481319250201019,0.49099999999999994,0.014306175822583303,0.22066666666666668,0.013719410418171107,81.10000000000001,1.6062378404209035
690.0,0.294,0.0072571803523590874,0.03,0.022196095752781992,0.04566666666666666,0.03412070078738451,0.054333333333333324,0.040450243784459716,0.41500000000000004,0.013490737563232056,0.17166666666666666,0.010274023338281625,85.23333333333333,2.0725722075613047
844.0,0.246,0.006480740698407866,0.029333333333333333,0.021514852750806564,0.041666666666666664,0.030922843048824318,0.05000000000000001,0.03691431519975234,0.3463333333333333,0.011585431464655164,0.13333333333333333,0.007760297817881884,87.2,2.362202362203541
1007.0,0.20666666666666667,0.006182412330330462,0.029666666666666664,0.02163844315615664,0.03966666666666667,0.029101355447622865,0.04766666666666666,0.03477866523539331,0.291,0.010424330514074603,0.106,0.006531972647421809,87.3,2.706781606754903
1207.0,0.16966666666666666,0.005436502143433361,0.031,0.022226110770892867,0.039,0.028083209693100727,0.04733333333333334,0.03410115670895767,0.23866666666666667,0.008498365855987981,0.08333333333333333,0.004921607686744471,86.0,2.7652606869274887
1414.0,0.1406666666666667,0.004784233364802437,0.032,0.022686266036231407,0.03933333333333333,0.02792052212182923,0.04733333333333334,0.033628691453710904,0.19833333333333333,0.007586537784494036,0.06666666666666667,0.003681787005729085,83.56666666666668,2.8193773938387383
1689.0,0.11266666666666665,0.004027681991198191,0.03566666666666667,0.02524986248587417,0.043000000000000003,0.03047403266170506,0.05133333333333334,0.03638070306571268,0.15866666666666665,0.006342099196813488,0.051666666666666666,0.0028674417556808756,79.8,2.83313724811677
1995.0,0.09000000000000001,0.0028284271247461922,0.04133333333333333,0.02923848301278452,0.04900000000000001,0.03466987164671943,0.058,0.04104469108991645,0.12766666666666668,0.004784233364802446,0.04066666666666666,0.0020548046676563242,75.56666666666666,2.6637484032009424
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
