PAR,Y(II),Y(II)StDev,Y(NPQ),Y(NPQ)StDev,Y(NO),Y(NO)StDev,NPQ,NPQStDev,qN,qNStDev,qP,qPStDev,qL,qLStDev,ETR,ETRStDev,Treatment,Rep
1207,0.130333333,0.010964589,0.073666667,0.003771236,0.796,0.00725718,0.092333333,0.004027682,0.106666667,0.004496913,0.183666667,0.014817407,0.061333333,0.005249339,66.03333333,5.604958123,White,3
1414,0.107,0.008640988,0.079,0.003559026,0.813666667,0.005249339,0.097,0.003559026,0.111666667,0.003858612,0.151,0.012192894,0.049333333,0.003858612,63.53333333,5.186092513,White,3
1689,0.085333333,0.007408704,0.086333333,0.004784233,0.828333333,0.002624669,0.104333333,0.005557777,0.119666667,0.00601849,0.120333333,0.009568467,0.038333333,0.003091206,60.4,5.093132631,White,3
1995,0.067333333,0.00601849,0.096666667,0.00601849,0.835666667,0.000471405,0.115666667,0.006798693,0.131,0.00725718,0.095333333,0.008055364,0.03,0.002160247,56.4,5.068201522,White,3
0,0.721,0.00244949,0,0,0.279,0.00244949,0,0,0,0,1,0,1,0,0,0,RGB,3
1,0.695666667,0.003858612,0.010666667,0.002494438,0.294,0.00294392,0.036,0.008041559,0.044333333,0.009285592,0.974666667,0.000942809,0.916666667,0.000942809,0.3,0,RGB,3
2,0.696333333,0.004784233,0.007,0.00294392,0.297333333,0.003399346,0.022333333,0.010077478,0.027666667,0.012119773,0.971333333,0.001247219,0.906333333,0.003681787,0.6,0,RGB,3
11,0.666,0.008286535,0.008333333,0.002624669,0.325333333,0.008219219,0.025666667,0.008013877,0.031666667,0.010143416,0.930333333,0.007760298,0.792333333,0.017969109,3.066666667,0.047140452,RGB,3
31,0.600666667,0.023697163,0.01,0.003741657,0.389333333,0.02131249,0.025666667,0.008956686,0.032333333,0.010656245,0.838666667,0.02866279,0.599666667,0.05067763,7.833333333,0.329983165,RGB,3
55,0.575333333,0.022484563,0.016333333,0.004921608,0.408,0.018239152,0.040333333,0.011440668,0.049666667,0.013474255,0.807,0.026981475,0.547,0.040472213,13.3,0.496655481,RGB,3
80,0.563666667,0.018660713,0.023,0.006164414,0.413333333,0.013474255,0.055666667,0.013912425,0.066666667,0.016006943,0.794,0.020542639,0.528333333,0.028075296,18.96666667,0.590668172,RGB,3
114,0.55,0.015577762,0.029666667,0.007133645,0.420666667,0.008730534,0.069666667,0.016213849,0.082666667,0.018354533,0.777333333,0.015326085,0.506,0.018384776,26.36666667,0.731816613,RGB,3
150,0.540333333,0.011813363,0.034333333,0.00837987,0.425666667,0.005436502,0.08,0.019510681,0.093666667,0.021296844,0.765666667,0.010208929,0.490666667,0.009568467,34.03333333,0.758653778,RGB,3
195,0.523333333,0.008259674,0.038333333,0.008178563,0.438666667,0.002054805,0.087,0.019612921,0.101666667,0.021452791,0.742666667,0.00518545,0.461,0.001632993,42.83333333,0.684754619,RGB,3
260,0.490333333,0.004714045,0.041333333,0.008730534,0.468333333,0.004027682,0.088666667,0.01887385,0.103,0.020542639,0.696666667,0.001885618,0.404666667,0.004921608,53.53333333,0.543650214,RGB,3
345,0.442666667,0.002494438,0.044,0.009201449,0.513333333,0.006847546,0.085333333,0.019344824,0.099666667,0.021013223,0.628666667,0.001885618,0.333333333,0.006798693,64.13333333,0.368178701,RGB,3
440,0.391333333,0.001699673,0.044333333,0.010143416,0.564333333,0.009741093,0.078666667,0.01887385,0.092333333,0.020757863,0.554666667,0.004189935,0.268,0.007071068,72.3,0.374165739,RGB,3
556,0.336,0.002160247,0.044,0.010614456,0.619333333,0.011264497,0.071666667,0.018153665,0.084666667,0.020270394,0.475666667,0.004988877,0.21,0.006377042,78.53333333,0.555777733,RGB,3
690,0.284,0.002160247,0.042333333,0.010842304,0.673,0.011575837,0.063666667,0.016739839,0.076,0.019096247,0.401333333,0.004921608,0.163,0.004966555,82.4,0.64807407,RGB,3
844,0.237,0.002160247,0.042,0.011343133,0.720666667,0.012498889,0.058666667,0.016048537,0.070666667,0.01887385,0.334333333,0.004496913,0.127666667,0.004027682,84.03333333,0.758653778,RGB,3
1007,0.198333333,0.001885618,0.042333333,0.010873004,0.759,0.012192894,0.056,0.014899664,0.067333333,0.017249799,0.28,0.004082483,0.101333333,0.003091206,84,0.848528137,RGB,3
1207,0.162666667,0.002357023,0.044,0.011430952,0.793333333,0.012814922,0.056,0.014988885,0.067,0.017146428,0.229,0.004082483,0.079666667,0.002624669,82.46666667,1.087300429,RGB,3
1414,0.134666667,0.001699673,0.047333333,0.011728408,0.818,0.013140269,0.058,0.015121728,0.07,0.017281975,0.189666667,0.003681787,0.064,0.002160247,79.96666667,1.096458947,RGB,3
1689,0.108,0.001414214,0.052333333,0.011728408,0.84,0.013140269,0.062,0.015121728,0.074333333,0.016819301,0.152333333,0.002867442,0.049333333,0.001699673,76.5,1.067707825,RGB,3
1995,0.086,0.001414214,0.059666667,0.011264497,0.854333333,0.012229291,0.07,0.013735599,0.083333333,0.016048537,0.121666667,0.002494438,0.039,0.001632993,72.13333333,1.329995823,RGB,3
0,0.727,0.000816497,0,0,0.273,0.000816497,0,0,0,0,1,0,1,0,0,0,RB,3
1,0.695,0.000816497,0.011666667,0.001247219,0.293333333,0.001699673,0.039666667,0.004496913,0.048,0.004898979,0.966333333,0.000942809,0.890666667,0.002624669,0.3,0,RB,3
2,0.699666667,0.000942809,0.01,0.002160247,0.290333333,0.001699673,0.034666667,0.00837987,0.042333333,0.009285592,0.971333333,0.001699673,0.904666667,0.004189935,0.6,0,RB,3
11,0.677,0.001632993,0.013666667,0.002357023,0.309666667,0.001247219,0.043666667,0.008055364,0.053333333,0.009672412,0.942333333,0.001885618,0.821333333,0.004189935,3.1,0,RB,3
31,0.623333333,0.004642796,0.017,0.003559026,0.359333333,0.001699673,0.048,0.009273618,0.058333333,0.010498677,0.869,0.005354126,0.651666667,0.010208929,8.1,0.081649658,RB,3
55,0.594666667,0.002867442,0.025,0.004966555,0.380333333,0.002494438,0.065666667,0.013670731,0.078,0.014854853,0.832666667,0.002054805,0.587333333,0.002054805,13.73333333,0.094280904,RB,3
80,0.576333333,0.003399346,0.032666667,0.005906682,0.391,0.004546061,0.084,0.014899664,0.098,0.015641824,0.811,0.00294392,0.554666667,0.004988877,19.36666667,0.094280904,RB,3
114,0.556333333,0.003681787,0.039666667,0.005906682,0.404,0.003741657,0.098333333,0.015456031,0.113,0.015641824,0.786333333,0.003299832,0.517666667,0.004109609,26.63333333,0.205480467,RB,3
150,0.544333333,0.003681787,0.044333333,0.006182412,0.411333333,0.004189935,0.107666667,0.015923428,0.123,0.016391054,0.771,0.003559026,0.497333333,0.004189935,34.3,0.244948974,RB,3
195,0.529666667,0.004189935,0.048333333,0.006944222,0.421666667,0.004109609,0.115333333,0.017745109,0.130333333,0.017745109,0.751666667,0.003299832,0.472333333,0.003299832,43.4,0.374165739,RB,3
260,0.503666667,0.004496913,0.052666667,0.007408704,0.443333333,0.004784233,0.119,0.01805547,0.134666667,0.017594191,0.715333333,0.004988877,0.426666667,0.004496913,54.96666667,0.531245915,RB,3
345,0.463333333,0.006128259,0.056333333,0.008498366,0.480333333,0.006128259,0.116333333,0.018909139,0.131666667,0.018803073,0.658333333,0.007133645,0.362666667,0.006599663,67.2,0.898146239,RB,3
440,0.419,0.008286535,0.057,0.008640988,0.524,0.004546061,0.109,0.016673332,0.124333333,0.016539515,0.593333333,0.009809293,0.300333333,0.006944222,77.4,1.525341492,RB,3
556,0.367333333,0.009177267,0.057333333,0.009104334,0.575666667,0.004921608,0.099333333,0.01575507,0.114333333,0.016539515,0.519,0.011518102,0.239666667,0.006944222,85.73333333,2.120272519,RB,3
690,0.315,0.009626353,0.056666667,0.008806563,0.628333333,0.004109609,0.09,0.0143527,0.104333333,0.014817407,0.444,0.012569805,0.188666667,0.006599663,91.33333333,2.819377394,RB,3
844,0.267,0.009416298,0.055,0.009201449,0.677666667,0.002867442,0.081333333,0.013224556,0.095333333,0.013960261,0.375333333,0.012684198,0.148,0.005887841,94.6,3.353605025,RB,3
1007,0.225666667,0.009104334,0.055,0.009201449,0.719666667,0.001699673,0.076333333,0.013224556,0.089333333,0.013912425,0.316666667,0.01203698,0.117666667,0.004784233,95.36666667,3.795904225,RB,3
1207,0.186666667,0.007586538,0.056,0.009273618,0.757666667,0.001885618,0.073666667,0.012364825,0.086666667,0.013767918,0.261666667,0.009741093,0.092333333,0.003771236,94.5,3.849675311,RB,3
1414,0.155,0.007118052,0.057666667,0.009568467,0.787666667,0.002624669,0.073333333,0.012657892,0.086,0.013589211,0.217333333,0.00946338,0.074,0.003559026,92.1,4.140853374,RB,3
1689,0.125,0.005715476,0.060333333,0.010498677,0.814666667,0.004784233,0.074,0.013589211,0.087666667,0.014522014,0.175,0.007874008,0.057666667,0.002624669,88.5,4.140853374,RB,3
1995,0.099666667,0.004784233,0.066666667,0.011728408,0.833666667,0.006944222,0.079666667,0.015282525,0.093666667,0.016048537,0.140666667,0.006182412,0.045,0.002160247,83.76666667,4.059830319,RB,3
0,0.730666667,0.004189935,0,0,0.269333333,0.004189935,0,0,0,0,1,0,1,0,0,0,White,4
1,0.697,0.004082483,0.01,0.000816497,0.293,0.004546061,0.034333333,0.002357023,0.042333333,0.002357023,0.962666667,0.000942809,0.877,0.003265986,0.3,0,White,4
2,0.701,0.00509902,0.012333333,0.000942809,0.287,0.005715476,0.042666667,0.004784233,0.051666667,0.004784233,0.970666667,0.002624669,0.901,0.007118052,0.6,0,White,4
11,0.657,0.014719601,0.018666667,0.000942809,0.324,0.015297059,0.057666667,0.004988877,0.069,0.005354126,0.913666667,0.016539515,0.749333333,0.036808815,3.033333333,0.094280904,White,4
31,0.573,0.029337121,0.029,0.001414214,0.398,0.029877528,0.073,0.007483315,0.086333333,0.007845735,0.799666667,0.037561801,0.534666667,0.054707302,7.466666667,0.402768199,White,4
55,0.545,0.025573424,0.039666667,0.001699673,0.415,0.026191602,0.096,0.008286535,0.11,0.008286535,0.765333333,0.032826141,0.486,0.042457822,12.6,0.571547607,White,4
80,0.536666667,0.021699974,0.048,0.001632993,0.415333333,0.023098822,0.116,0.009416298,0.130666667,0.009285592,0.757666667,0.02805154,0.478,0.035393031,18.03333333,0.731816613,White,4
114,0.525666667,0.021013223,0.054666667,0.001699673,0.419666667,0.022156012,0.130333333,0.010530379,0.145333333,0.009977753,0.744666667,0.027341462,0.463333333,0.032826141,25.16666667,0.967241209,White,4
150,0.507333333,0.0228959,0.061333333,0.001885618,0.431333333,0.023809429,0.142,0.010424331,0.156666667,0.009533566,0.721,0.029698485,0.435,0.033980386,31.96666667,1.39124245,White,4
195,0.474333333,0.024280765,0.068333333,0.001885618,0.457333333,0.02452663,0.15,0.009899495,0.164,0.009092121,0.675333333,0.032065904,0.384,0.031885211,38.86666667,1.956754683,White,4
260,0.423,0.024752104,0.076,0.002160247,0.501,0.025508169,0.152666667,0.010208929,0.166666667,0.009392669,0.602333333,0.033509534,0.312,0.027724838,46.13333333,2.710883415,White,4
345,0.362,0.024041631,0.083333333,0.002867442,0.554333333,0.024729649,0.151333333,0.009533566,0.165,0.008831761,0.515666667,0.032355662,0.241333333,0.021638443,52.46666667,3.441253002,White,4
440,0.306333333,0.021452791,0.089,0.004082483,0.605,0.021771541,0.146333333,0.009672412,0.161333333,0.008956686,0.435666667,0.028859814,0.187,0.016512621,56.6,3.960639679,White,4
556,0.254,0.018402898,0.093333333,0.004109609,0.652666667,0.018571184,0.143,0.007874008,0.157333333,0.007717225,0.361,0.024832774,0.143666667,0.01203698,59.36666667,4.292888176,White,4
690,0.208666667,0.015326085,0.098,0.004546061,0.693666667,0.015860503,0.141,0.008041559,0.156,0.007483315,0.296,0.020607442,0.111,0.008640988,60.46666667,4.50653846,White,4
844,0.170666667,0.012498889,0.103,0.005354126,0.726333333,0.012762793,0.141666667,0.00837987,0.156,0.007788881,0.242666667,0.016779617,0.086333333,0.00601849,60.5,4.384822307,White,4
1007,0.141,0.010614456,0.108,0.00509902,0.751,0.010614456,0.144,0.007348469,0.158,0.00697615,0.200333333,0.013767918,0.069333333,0.004642796,59.63333333,4.412356387,White,4
1207,0.113666667,0.008259674,0.115,0.00509902,0.771333333,0.008653837,0.149,0.007348469,0.163,0.00697615,0.162333333,0.010873004,0.054666667,0.003399346,57.7,4.173727351,White,4
1414,0.093666667,0.006847546,0.122,0.005715476,0.784666667,0.007133645,0.155,0.007483315,0.169333333,0.007586538,0.133333333,0.00942809,0.043666667,0.002624669,55.56666667,4.149163236,White,4
1689,0.074333333,0.00518545,0.13,0.00509902,0.795333333,0.005906682,0.163666667,0.007408704,0.176666667,0.007133645,0.106333333,0.006599663,0.034333333,0.001699673,52.8,3.680579664,White,4
1995,0.058333333,0.003771236,0.140333333,0.004642796,0.801333333,0.00518545,0.175,0.006683313,0.187333333,0.006236096,0.083666667,0.005436502,0.027,0.001414214,48.96666667,3.370789555,White,4
0,0.718666667,0.003399346,0,0,0.281333333,0.003399346,0,0,0,0,1,0,1,0,0,0,RGB,4
1,0.691333333,0.001885618,0.011,0.001414214,0.297333333,0.001885618,0.037666667,0.00518545,0.046333333,0.006128259,0.972333333,0.001885618,0.911,0.007118052,0.3,0,RGB,4
2,0.691666667,0.001699673,0.01,0.002160247,0.298,0.002160247,0.034,0.005887841,0.042,0.00725718,0.972333333,0.002624669,0.91,0.008485281,0.6,0,RGB,4
11,0.660333333,0.007760298,0.012666667,0.002054805,0.326666667,0.006236096,0.038666667,0.005792716,0.047666667,0.006599663,0.929666667,0.013888444,0.794,0.036769553,3.066666667,0.047140452,RGB,4
31,0.597,0.031633316,0.016333333,0.005249339,0.386333333,0.026562296,0.042,0.011343133,0.051666667,0.013224556,0.841333333,0.046348918,0.612333333,0.085495939,7.766666667,0.410960934,RGB,4
55,0.567,0.031822424,0.024333333,0.008178563,0.409,0.02325224,0.058,0.01779513,0.069666667,0.020417857,0.802,0.044639295,0.548333333,0.072467617,13.1,0.748331477,RGB,4
80,0.552333333,0.024796953,0.030666667,0.009877022,0.417333333,0.015326085,0.072,0.021463147,0.085333333,0.023795424,0.784333333,0.034663461,0.521,0.051633323,18.56666667,0.837987006,RGB,4
114,0.537,0.018457158,0.035333333,0.011115555,0.427666667,0.007408704,0.082666667,0.02422579,0.096,0.026545558,0.764666667,0.024689179,0.493333333,0.033628691,25.7,0.883176087,RGB,4
150,0.521666667,0.012119773,0.039333333,0.011897712,0.439,0.001414214,0.089666667,0.026549744,0.104,0.028855964,0.744333333,0.016213849,0.465666667,0.019601587,32.83333333,0.79302515,RGB,4
195,0.496333333,0.007930252,0.043333333,0.013274872,0.460333333,0.004784233,0.094333333,0.028569603,0.108666667,0.030868898,0.709,0.009092121,0.422333333,0.009533566,40.63333333,0.63420992,RGB,4
260,0.453,0.004320494,0.046666667,0.014974052,0.500333333,0.010656245,0.094333333,0.031510139,0.108666667,0.03380664,0.647333333,0.004189935,0.355333333,0.002054805,49.46666667,0.464279609,RGB,4
345,0.398333333,0.001885618,0.05,0.016872068,0.551333333,0.015173076,0.091666667,0.032836294,0.105666667,0.035565276,0.568666667,0.000471405,0.283,0.001632993,57.73333333,0.262466929,RGB,4
440,0.345333333,0.001247219,0.051666667,0.019482186,0.602666667,0.018803073,0.087,0.034535006,0.100666667,0.037721199,0.493,0.001414214,0.224666667,0.002867442,63.83333333,0.205480467,RGB,4
556,0.292,0,0.053,0.021400935,0.654666667,0.021746009,0.082333333,0.035112518,0.095333333,0.03861203,0.416333333,0.002054805,0.174666667,0.002867442,68.23333333,0.094280904,RGB,4
690,0.242666667,0.000942809,0.055,0.023551362,0.702333333,0.024239545,0.079666667,0.03546203,0.092666667,0.038955815,0.345333333,0.002867442,0.135666667,0.002867442,70.33333333,0.262466929,RGB,4
844,0.200666667,0.001699673,0.057666667,0.024796953,0.742,0.026191602,0.078666667,0.03546203,0.092,0.03906405,0.285333333,0.003399346,0.106333333,0.002867442,71.1,0.571547607,RGB,4
1007,0.167666667,0.001699673,0.061,0.026495283,0.772,0.0275318,0.08,0.036359318,0.092666667,0.040309911,0.238,0.003741657,0.085,0.00244949,70.73333333,0.694422222,RGB,4
1207,0.136666667,0.001699673,0.065333333,0.027402352,0.798333333,0.028534579,0.082666667,0.036572607,0.095666667,0.040086019,0.194333333,0.002867442,0.067333333,0.002054805,69.26666667,0.703957069,RGB,4
1414,0.112333333,0.002054805,0.071,0.027856777,0.817,0.029439203,0.087666667,0.036572607,0.101333333,0.039752009,0.16,0.003265986,0.053666667,0.002054805,66.63333333,1.102522361,RGB,4
1689,0.089,0.001414214,0.078,0.029223278,0.832666667,0.030136725,0.095333333,0.037597281,0.109333333,0.040334711,0.127666667,0.002624669,0.042,0.001414214,63.36666667,0.910433352,RGB,4
1995,0.071333333,0.001247219,0.085666667,0.029488227,0.843,0.030408332,0.103,0.037850583,0.117333333,0.039969433,0.102333333,0.002054805,0.033,0.000816497,59.83333333,0.903081146,RGB,4
0,0.711,0.004320494,0,0,0.289,0.004320494,0,0,0,0,1,0,1,0,0,0,RB,4
1,0.677666667,0.005249339,0.013666667,0.001699673,0.308666667,0.004027682,0.045,0.004966555,0.055,0.005715476,0.965333333,0.000942809,0.892333333,0.002054805,0.3,0,RB,4
2,0.68,0.005715476,0.013666667,0.000942809,0.306333333,0.005249339,0.045,0.004082483,0.055333333,0.004496913,0.968666667,0.001699673,0.902666667,0.004921608,0.6,0,RB,4
11,0.653,0.000816497,0.018,0.00244949,0.329333333,0.002357023,0.055,0.007788881,0.067,0.008602325,0.933,0.003741657,0.806666667,0.010077478,3,0,RB,4
31,0.583,0.016573071,0.023333333,0.004988877,0.393333333,0.011953614,0.059,0.010424331,0.071333333,0.011671428,0.834333333,0.026284765,0.604666667,0.046949145,7.566666667,0.205480467,RB,4
55,0.541666667,0.017172329,0.035,0.007788881,0.423666667,0.009392669,0.082666667,0.016438437,0.097333333,0.017632042,0.78,0.025806976,0.522,0.038131352,12.5,0.40824829,RB,4
80,0.528,0.014306176,0.044666667,0.009809293,0.427333333,0.004496913,0.104,0.021648711,0.12,0.022045408,0.765,0.020607442,0.503,0.02808321,17.73333333,0.492160769,RB,4
114,0.515,0.009899495,0.052,0.011045361,0.433333333,0.001247219,0.119666667,0.025315783,0.136,0.025311394,0.749,0.013928388,0.483666667,0.017913372,24.63333333,0.492160769,RB,4
150,0.504666667,0.006342099,0.057333333,0.011841546,0.438,0.006683313,0.131,0.029810513,0.147333333,0.028581268,0.737,0.008485281,0.469,0.010801234,31.83333333,0.38586123,RB,4
195,0.485333333,0.003299832,0.061666667,0.014290634,0.453,0.012569805,0.136666667,0.034701905,0.152333333,0.033529423,0.71,0.005656854,0.436,0.008640988,39.76666667,0.286744176,RB,4
260,0.450666667,0.004109609,0.065333333,0.016739839,0.484,0.018708287,0.136666667,0.039194671,0.152333333,0.037985377,0.658666667,0.009030811,0.379,0.011775681,49.2,0.454606057,RB,4
345,0.404,0.004898979,0.069,0.019595918,0.527333333,0.022095751,0.132666667,0.042460439,0.147666667,0.041651997,0.589333333,0.009977753,0.312,0.011575837,58.53333333,0.694422222,RB,4
440,0.356333333,0.004496913,0.070333333,0.022454893,0.573333333,0.024783507,0.124666667,0.044093335,0.14,0.04368829,0.519,0.009092121,0.253,0.009416298,65.83333333,0.821921867,RB,4
556,0.306,0.004546061,0.071666667,0.024931016,0.622333333,0.026712461,0.117,0.044549598,0.132,0.044504681,0.445333333,0.008653837,0.200666667,0.007717225,71.46666667,1.078064109,RB,4
690,0.258,0.004320494,0.073333333,0.026960877,0.668666667,0.027956315,0.111333333,0.044969125,0.125666667,0.045726239,0.375,0.007348469,0.157333333,0.005436502,74.86666667,1.172840806,RB,4
844,0.215333333,0.003399346,0.074666667,0.028193774,0.71,0.02871701,0.107,0.043734045,0.121666667,0.044909786,0.312333333,0.006128259,0.123666667,0.004189935,76.3,1.219289411,RB,4
1007,0.180333333,0.003399346,0.077,0.028612352,0.742666667,0.029454296,0.105666667,0.042944409,0.120333333,0.044100894,0.262,0.005715476,0.099,0.003741657,76.33333333,1.381625452,RB,4
1207,0.148,0.00294392,0.080666667,0.029825418,0.771,0.030243457,0.106333333,0.042523196,0.121333333,0.044100894,0.214333333,0.004496913,0.078,0.00294392,75,1.373559852,RB,4
1414,0.122666667,0.002494438,0.085666667,0.029009577,0.791666667,0.029825418,0.109666667,0.041314512,0.124666667,0.042066086,0.178333333,0.004496913,0.063333333,0.002494438,72.93333333,1.621384868,RB,4
1689,0.098666667,0.001699673,0.091333333,0.029847762,0.81,0.030210373,0.114333333,0.041346772,0.129666667,0.041683996,0.143333333,0.002867442,0.049333333,0.001699673,70,1.29614814,RB,4
1995,0.078333333,0.002054805,0.099333333,0.029488227,0.822,0.029810513,0.122,0.040232657,0.137333333,0.039718454,0.114333333,0.003299832,0.039,0.001632993,65.83333333,1.717232916,RB,4
0,0.718333333,0.004189935,0,0,0.281666667,0.004189935,0,0,0,0,1,0,1,0,0,0,White,5
1,0.690666667,0.002494438,0.008666667,0.001247219,0.301,0.003741657,0.028333333,0.004109609,0.035333333,0.004921608,0.968666667,0.001247219,0.899,0.00509902,0.3,0,White,5
2,0.693333333,0.003681787,0.01,0.002160247,0.296666667,0.005734884,0.034,0.008041559,0.042,0.009416298,0.974333333,0.002494438,0.916333333,0.007760298,0.6,0,White,5
11,0.646,0.00697615,0.015666667,0.003299832,0.338333333,0.010077478,0.047333333,0.010143416,0.057333333,0.011556624,0.911333333,0.008013877,0.749333333,0.01798765,2.966666667,0.047140452,White,5
31,0.533,0.009899495,0.027666667,0.004784233,0.439333333,0.013572849,0.063666667,0.012498889,0.076333333,0.013695092,0.755,0.011860298,0.476,0.014165686,6.933333333,0.124721913,White,5
55,0.511,0.011224972,0.041333333,0.005249339,0.447666667,0.014817407,0.092666667,0.013960261,0.108333333,0.014429907,0.729666667,0.013474255,0.448,0.015253415,11.76666667,0.249443826,White,5
80,0.506666667,0.010530379,0.050333333,0.00601849,0.443,0.014764823,0.113666667,0.016048537,0.13,0.016309506,0.728,0.013490738,0.448666667,0.015542058,17.03333333,0.339934634,White,5
114,0.499666667,0.010780641,0.056666667,0.006847546,0.443333333,0.016499158,0.128666667,0.01887385,0.144666667,0.018856181,0.721,0.014306176,0.442,0.017378147,23.93333333,0.498887652,White,5
150,0.484666667,0.013072448,0.062,0.007071068,0.453,0.018991226,0.138,0.020607442,0.154,0.019866219,0.701333333,0.018061623,0.42,0.020848661,30.56666667,0.817856276,White,5
195,0.455,0.015513435,0.068666667,0.007542472,0.476333333,0.022365648,0.145,0.022105806,0.160666667,0.021171259,0.659333333,0.022602851,0.375666667,0.0228959,37.26666667,1.26578917,White,5
260,0.407,0.016753109,0.076333333,0.008806563,0.516666667,0.025223446,0.148666667,0.02422579,0.164,0.022992752,0.590333333,0.024716167,0.309333333,0.02200505,44.43333333,1.79691093,White,5
345,0.35,0.016391054,0.083333333,0.010964589,0.567,0.026993826,0.148,0.024711671,0.163333333,0.02407396,0.507333333,0.024417662,0.242666667,0.018354533,50.66666667,2.414309195,White,5
440,0.296666667,0.015542058,0.088666667,0.012657892,0.614333333,0.027438821,0.145333333,0.026411277,0.160666667,0.024997778,0.430333333,0.022291005,0.189666667,0.01461354,54.9,2.824889378,White,5
556,0.247666667,0.013572849,0.093,0.013735599,0.659666667,0.026836956,0.142333333,0.025629844,0.157333333,0.024850665,0.358333333,0.019601587,0.147333333,0.011115555,57.8,3.131559782,White,5
690,0.204333333,0.011585431,0.097,0.014514361,0.698333333,0.025590797,0.14,0.025495098,0.155333333,0.024253293,0.295666667,0.01675974,0.114666667,0.008498366,59.16666667,3.226280969,White,5
844,0.168,0.009092121,0.101,0.015297059,0.731,0.024344746,0.138666667,0.025368397,0.154333333,0.024253293,0.243,0.013366625,0.090333333,0.00601849,59.46666667,3.256105376,White,5
1007,0.139,0.008286535,0.106333333,0.015627611,0.754666667,0.023893281,0.141666667,0.024796953,0.156666667,0.024004629,0.201333333,0.012119773,0.072333333,0.005249339,58.8,3.3950945,White,5
1207,0.113333333,0.006236096,0.112,0.016083117,0.774666667,0.022305953,0.145333333,0.024689179,0.160333333,0.023669014,0.164333333,0.009741093,0.057333333,0.003858612,57.46666667,3.252007927,White,5
1414,0.093333333,0.005436502,0.119,0.016673332,0.787333333,0.022425184,0.152,0.024913183,0.166666667,0.023795424,0.136,0.008041559,0.046666667,0.003399346,55.6,3.28734949,White,5
1689,0.074,0.004546061,0.128666667,0.016357126,0.797333333,0.02085399,0.162333333,0.024253293,0.176666667,0.022231109,0.107666667,0.006342099,0.036666667,0.002624669,52.46666667,3.145720197,White,5
1995,0.058666667,0.003399346,0.138333333,0.016213849,0.802666667,0.019938795,0.173,0.024124676,0.186666667,0.022231109,0.086333333,0.005249339,0.028666667,0.001885618,49.43333333,2.994810326,White,5
0,0.708666667,0.004921608,0,0,0.291333333,0.004921608,0,0,0,0,1,0,1,0,0,0,RGB,5
1,0.682666667,0.003399346,0.011666667,0.000942809,0.306,0.003741657,0.037333333,0.003399346,0.046333333,0.004189935,0.974,0.002160247,0.917666667,0.008339997,0.3,0,RGB,5
2,0.681,0.004546061,0.013333333,0.000471405,0.305666667,0.004496913,0.043333333,0.001699673,0.053333333,0.001699673,0.973333333,0.001247219,0.916666667,0.003399346,0.6,0,RGB,5
11,0.627,0.012754084,0.023,0.00294392,0.349666667,0.010143416,0.065666667,0.006944222,0.079333333,0.007760298,0.902,0.012027746,0.737666667,0.023328571,2.866666667,0.047140452,RGB,5
31,0.529,0.003265986,0.038,0.006480741,0.433,0.004546061,0.087666667,0.016213849,0.103333333,0.017133463,0.766,0.004242641,0.503333333,0.011897712,6.866666667,0.047140452,RGB,5
55,0.503666667,0.004189935,0.05,0.00294392,0.446333333,0.002357023,0.113,0.006164414,0.129666667,0.007039571,0.734,0.000816497,0.464666667,0.005312459,11.63333333,0.094280904,RGB,5
80,0.499,0.005887841,0.059333333,0.002054805,0.441666667,0.004496913,0.134666667,0.004189935,0.152,0.004082483,0.732,0.002828427,0.464666667,0.002054805,16.76666667,0.205480467,RGB,5
114,0.494666667,0.005557777,0.066666667,0.001247219,0.439,0.005715476,0.151,0.004320494,0.168,0.003741657,0.728666667,0.003299832,0.463666667,0.002357023,23.7,0.294392029,RGB,5
150,0.488,0.005715476,0.071333333,0.001885618,0.440666667,0.007039571,0.162333333,0.006342099,0.178333333,0.004784233,0.721,0.00509902,0.455333333,0.004189935,30.73333333,0.38586123,RGB,5
195,0.470333333,0.005906682,0.077333333,0.002624669,0.452666667,0.007586538,0.171,0.008041559,0.186333333,0.006342099,0.696333333,0.005436502,0.427333333,0.004988877,38.5,0.496655481,RGB,5
260,0.434,0.005656854,0.085,0.002828427,0.481,0.007483315,0.177,0.008640988,0.192333333,0.006944222,0.644333333,0.005436502,0.371333333,0.004189935,47.36666667,0.612825877,RGB,5
345,0.385333333,0.004496913,0.093,0.003559026,0.522333333,0.007408704,0.177666667,0.008956686,0.192333333,0.007717225,0.571666667,0.004189935,0.303666667,0.002357023,55.83333333,0.659966329,RGB,5
440,0.336666667,0.004027682,0.098,0.004242641,0.565666667,0.006944222,0.173333333,0.009741093,0.188666667,0.008055364,0.499,0.003741657,0.245,0.002160247,62.16666667,0.758653778,RGB,5
556,0.286,0.003559026,0.103333333,0.004784233,0.610333333,0.007039571,0.169,0.00993311,0.185,0.008524475,0.424333333,0.003299832,0.193,0.001632993,66.83333333,0.805536398,RGB,5
690,0.24,0.002828427,0.107666667,0.00601849,0.652666667,0.006944222,0.165333333,0.010498677,0.181333333,0.009104334,0.354666667,0.002054805,0.151333333,0.000942809,69.53333333,0.731816613,RGB,5
