PAR,Y(II),Y(II)StDev,Y(NPQ),Y(NPQ)StDev,Y(NO),Y(NO)StDev,NPQ,NPQStDev,qN,qNStDev,qP,qPStDev,qL,qLStDev,ETR,ETRStDev,Treatment,Rep
114,0.452666667,0.008956686,0.059,0.003559026,0.488333333,0.005436502,0.120666667,0.005436502,0.138,0.005656854,0.664333333,0.011953614,0.387333333,0.012283684,21.66666667,0.38586123,RB,1
150,0.451,0.006683313,0.068666667,0.003681787,0.480333333,0.003091206,0.142666667,0.006944222,0.16,0.006531973,0.666666667,0.008653837,0.392333333,0.008576454,28.43333333,0.418993503,RB,1
195,0.45,0.00509902,0.076333333,0.004189935,0.473666667,0.002494438,0.161333333,0.008498366,0.178,0.008041559,0.668666667,0.00601849,0.397333333,0.005557777,36.86666667,0.38586123,RB,1
260,0.440333333,0.004189935,0.084,0.004320494,0.475333333,0.004988877,0.177,0.010614456,0.192333333,0.009672412,0.656666667,0.005312459,0.386666667,0.004988877,48.06666667,0.464279609,RB,1
345,0.412333333,0.004921608,0.092333333,0.004714045,0.495333333,0.007133645,0.186666667,0.011728408,0.201666667,0.010338708,0.616333333,0.007408704,0.347666667,0.006847546,59.73333333,0.703957069,RB,1
440,0.373666667,0.004988877,0.100666667,0.005249339,0.526,0.008286535,0.191666667,0.012684198,0.205666667,0.011323525,0.559333333,0.008055364,0.297,0.007071068,69,0.962635272,RB,1
556,0.328,0.004082483,0.108666667,0.005436502,0.563333333,0.007717225,0.193333333,0.011953614,0.207,0.010708252,0.491666667,0.006599663,0.243666667,0.005557777,76.6,1.061445555,RB,1
690,0.282333333,0.003681787,0.116,0.005354126,0.601333333,0.006944222,0.193,0.011045361,0.207,0.009416298,0.423333333,0.005312459,0.196,0.003741657,81.83333333,1.033870828,RB,1
844,0.239666667,0.003091206,0.122333333,0.005312459,0.638,0.006377042,0.191666667,0.010208929,0.206,0.008981462,0.358666667,0.004642796,0.156666667,0.002494438,84.9,1.067707825,RB,1
1007,0.203666667,0.003091206,0.129,0.004898979,0.667666667,0.005906682,0.193,0.009416298,0.207,0.007788881,0.305,0.004242641,0.127333333,0.002624669,86.1,1.20277457,RB,1
1207,0.169666667,0.002494438,0.136,0.005354126,0.695333333,0.005436502,0.195333333,0.009177267,0.208666667,0.007930252,0.254,0.003741657,0.101666667,0.001699673,85.86666667,1.291854825,RB,1
1414,0.142,0.00244949,0.143666667,0.005792716,0.715333333,0.005436502,0.200666667,0.009285592,0.213333333,0.00837987,0.212666667,0.003299832,0.082666667,0.001699673,84.13333333,1.347425529,RB,1
1689,0.114666667,0.002494438,0.151333333,0.00601849,0.733333333,0.006182412,0.207,0.010033278,0.218666667,0.008339997,0.172666667,0.003299832,0.065333333,0.001247219,81.43333333,1.488474237,RB,1
1995,0.092333333,0.001699673,0.162333333,0.006649979,0.745333333,0.006847546,0.217666667,0.011145502,0.228333333,0.00946338,0.139,0.00244949,0.052,0.000816497,77.33333333,1.352364185,RB,1
0,0.725333333,0.002357023,0,0,0.274666667,0.002357023,0,0,0,0,1,0,1,0,0,0,White,2
1,0.705,0.001632993,0.004333333,0.000942809,0.290666667,0.002494438,0.015333333,0.003299832,0.019,0.003741657,0.975333333,0.001699673,0.917,0.00509902,0.3,0,White,2
2,0.709333333,0.002624669,0.003333333,0.000942809,0.287,0.003265986,0.013,0.003559026,0.016333333,0.004496913,0.981333333,0.002867442,0.935,0.008981462,0.6,0,White,2
11,0.680666667,0.00946338,0.005333333,0.000942809,0.314,0.009626353,0.017,0.003559026,0.021,0.004320494,0.942,0.013490738,0.819333333,0.0359753,3.133333333,0.047140452,White,2
31,0.610333333,0.024115463,0.008666667,0.002357023,0.381,0.022045408,0.022,0.004966555,0.027666667,0.005906682,0.846,0.032444825,0.608333333,0.058630671,7.966666667,0.286744176,White,2
55,0.569666667,0.024783507,0.016333333,0.004027682,0.414,0.02092845,0.039333333,0.007542472,0.048,0.008485281,0.793,0.033416563,0.522333333,0.049276995,13.16666667,0.579271573,White,2
80,0.549666667,0.019955506,0.025333333,0.004784233,0.425,0.015253415,0.059666667,0.00946338,0.071666667,0.010208929,0.77,0.027067816,0.490333333,0.036609046,18.46666667,0.659966329,White,2
114,0.535333333,0.014522014,0.034333333,0.006182412,0.430666667,0.008576454,0.079,0.013490738,0.092666667,0.014429907,0.753333333,0.018571184,0.470666667,0.022837591,25.63333333,0.703957069,White,2
150,0.525,0.011045361,0.041666667,0.007408704,0.433333333,0.005249339,0.096333333,0.016779617,0.110666667,0.017249799,0.742666667,0.012657892,0.457666667,0.013912425,33.06666667,0.65489609,White,2
195,0.504,0.009201449,0.049,0.008524475,0.447333333,0.008259674,0.109333333,0.019567547,0.124666667,0.019344824,0.715333333,0.010498677,0.426,0.010198039,41.3,0.778888096,White,2
260,0.462333333,0.011469767,0.056666667,0.010208929,0.481,0.013735599,0.117666667,0.024280765,0.132666667,0.023584364,0.657666667,0.014383633,0.363333333,0.013274872,50.46666667,1.271045064,White,2
345,0.405333333,0.013523642,0.064666667,0.01302135,0.530333333,0.018624953,0.122666667,0.027824849,0.137666667,0.027108834,0.577,0.017454703,0.289333333,0.014383633,58.7,1.930457631,White,2
440,0.348333333,0.013199327,0.070666667,0.015839472,0.581,0.021275965,0.122666667,0.031351059,0.137333333,0.030180936,0.496333333,0.018208667,0.227,0.012754084,64.4,2.485960579,White,2
556,0.293333333,0.012918548,0.076,0.019131126,0.631,0.024097026,0.121666667,0.034893489,0.136,0.033950945,0.417333333,0.018080069,0.176,0.010677078,68.46666667,3.037908637,White,2
690,0.243,0.011224972,0.079333333,0.02107658,0.677333333,0.025525586,0.119,0.036083237,0.133,0.035393031,0.345666667,0.016213849,0.135666667,0.008339997,70.46666667,3.331999733,White,2
844,0.2,0.009626353,0.084666667,0.023626727,0.715333333,0.026836956,0.119333333,0.037967823,0.133333333,0.037276743,0.284666667,0.013960261,0.106,0.006480741,70.93333333,3.408160142,White,2
1007,0.166,0.008640988,0.089333333,0.025978624,0.744666667,0.028894444,0.121333333,0.040077702,0.135333333,0.039381327,0.236666667,0.012498889,0.084333333,0.005436502,70.26666667,3.657260663,White,2
1207,0.135333333,0.007586538,0.095,0.026919633,0.769666667,0.029318178,0.125,0.04032369,0.139,0.038910153,0.193,0.010614456,0.066333333,0.004642796,68.7,3.706750599,White,2
1414,0.111666667,0.006342099,0.102,0.028390139,0.786,0.02997777,0.131333333,0.041555853,0.145,0.039673669,0.159666667,0.008993825,0.053666667,0.003399346,66.4,3.805259518,White,2
1689,0.088666667,0.005557777,0.110666667,0.028592928,0.800333333,0.030814859,0.14,0.042457822,0.153666667,0.039885949,0.127,0.007788881,0.042,0.00294392,63,3.811386449,White,2
1995,0.07,0.004320494,0.122333333,0.029533409,0.807666667,0.030944395,0.153,0.043181786,0.166,0.039673669,0.100666667,0.006128259,0.033,0.002160247,58.76666667,3.627977704,White,2
0,0.725333333,0.002357023,0,0,0.274666667,0.002357023,0,0,0,0,1,0,1,0,0,0,RGB,2
1,0.696,0.000816497,0.005666667,0.000471405,0.298333333,0.001247219,0.019333333,0.000942809,0.024333333,0.000942809,0.980666667,0.002054805,0.936,0.007483315,0.3,0,RGB,2
2,0.696,0.001414214,0.001666667,0.000942809,0.302,0.000816497,0.006,0.002160247,0.007666667,0.003091206,0.977666667,0.002867442,0.926333333,0.009177267,0.6,0,RGB,2
11,0.665,0.009092121,0.001333333,0.000942809,0.333666667,0.008653837,0.005,0.001632993,0.006666667,0.002054805,0.933333333,0.01426729,0.802,0.036914315,3.066666667,0.047140452,RGB,2
31,0.574333333,0.022661764,0.005,0.001632993,0.421,0.020607442,0.011333333,0.003299832,0.014666667,0.004189935,0.807333333,0.03193048,0.55,0.052083267,7.466666667,0.329983165,RGB,2
55,0.537333333,0.023697163,0.014333333,0.002494438,0.448333333,0.021234144,0.031666667,0.004027682,0.04,0.004966555,0.760666667,0.033885428,0.484333333,0.046949145,12.43333333,0.531245915,RGB,2
80,0.524666667,0.022939534,0.025333333,0.003858612,0.45,0.02001666,0.056,0.005656854,0.068,0.006377042,0.747333333,0.033489634,0.47,0.04411349,17.6,0.778888096,RGB,2
114,0.514666667,0.018553227,0.036,0.004546061,0.45,0.014445299,0.079666667,0.007408704,0.094666667,0.007930252,0.737333333,0.02623399,0.460333333,0.033559235,24.6,0.909212113,RGB,2
150,0.509666667,0.015326085,0.045,0.004898979,0.445333333,0.010530379,0.101,0.008164966,0.117,0.008164966,0.735333333,0.021359359,0.460333333,0.027047284,32.13333333,0.953356643,RGB,2
195,0.503,0.012832251,0.052,0.005715476,0.445,0.00725718,0.116666667,0.010624918,0.133333333,0.011025224,0.728333333,0.017632042,0.454,0.021275965,41.16666667,1.078064109,RGB,2
260,0.482666667,0.010624918,0.059333333,0.006128259,0.457666667,0.004189935,0.129333333,0.013097922,0.146,0.012675436,0.701666667,0.014290634,0.423666667,0.015542058,52.73333333,1.146976702,RGB,2
345,0.443666667,0.009843215,0.067,0.007348469,0.489,0.00294392,0.137333333,0.013888444,0.153666667,0.013474255,0.646333333,0.013199327,0.364333333,0.012684198,64.3,1.430617582,RGB,2
