PAR,Y(II),Y(II)StDev,Y(NPQ),Y(NPQ)StDev,NPQ,NPQStDev,qN,qNStDev,qP,qPStDev,qL,qLStDev,ETR,ETRStDev,Light,Rep
440,0.423333333,0.008806563,0.091333333,0.005249339,0.187666667,0.011469767,0.2,0.009899495,0.619,0.010984838,0.339333333,0.009177267,78.2,1.651262144,RB,2
556,0.375333333,0.009568467,0.099333333,0.004921608,0.189333333,0.010077478,0.201333333,0.008730534,0.549,0.013140269,0.278333333,0.009177267,87.63333333,2.252899366,RB,2
690,0.325,0.009416298,0.106333333,0.004988877,0.187333333,0.010402991,0.199666667,0.008730534,0.475666667,0.013597385,0.222666667,0.008730534,94.2,2.808320969,RB,2
844,0.276666667,0.009104334,0.112666667,0.005906682,0.185333333,0.012657892,0.197666667,0.010964589,0.404666667,0.013424687,0.177,0.008041559,98.13333333,3.31896905,RB,2
1007,0.235333333,0.008806563,0.118,0.00725718,0.183333333,0.014884742,0.196,0.012832251,0.343666667,0.012657892,0.142333333,0.006798693,99.53333333,3.598456459,RB,2
1207,0.196,0.007874008,0.124,0.009092121,0.183,0.017204651,0.196,0.015121728,0.286,0.012192894,0.112333333,0.00601849,99.26666667,4.047495796,RB,2
1414,0.164333333,0.006649979,0.129666667,0.011440668,0.184333333,0.020821997,0.196666667,0.017556259,0.24,0.010677078,0.090666667,0.004784233,97.53333333,4.083571422,RB,2
1689,0.132,0.005715476,0.137,0.013490738,0.188333333,0.023299976,0.2,0.020461346,0.193333333,0.008806563,0.070666667,0.004027682,93.83333333,4.094169296,RB,2
1995,0.106333333,0.004496913,0.145666667,0.014727148,0.195333333,0.024567368,0.206333333,0.02131249,0.155666667,0.006847546,0.055333333,0.003091206,89.03333333,3.779182745,RB,2
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RB,2
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RB,3
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RB,3
0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RB,3
0,0.727,0.000816497,0,0,0,0,0,0,1,0,1,0,0,0,RB,3
1,0.695,0.000816497,0.011666667,0.001247219,0.039666667,0.004496913,0.048,0.004898979,0.966333333,0.000942809,0.890666667,0.002624669,0.3,0,RB,3
2,0.699666667,0.000942809,0.01,0.002160247,0.034666667,0.00837987,0.042333333,0.009285592,0.971333333,0.001699673,0.904666667,0.004189935,0.6,0,RB,3
11,0.677,0.001632993,0.013666667,0.002357023,0.043666667,0.008055364,0.053333333,0.009672412,0.942333333,0.001885618,0.821333333,0.004189935,3.1,0,RB,3
31,0.623333333,0.004642796,0.017,0.003559026,0.048,0.009273618,0.058333333,0.010498677,0.869,0.005354126,0.651666667,0.010208929,8.1,0.081649658,RB,3
55,0.594666667,0.002867442,0.025,0.004966555,0.065666667,0.013670731,0.078,0.014854853,0.832666667,0.002054805,0.587333333,0.002054805,13.73333333,0.094280904,RB,3
80,0.576333333,0.003399346,0.032666667,0.005906682,0.084,0.014899664,0.098,0.015641824,0.811,0.00294392,0.554666667,0.004988877,19.36666667,0.094280904,RB,3
114,0.556333333,0.003681787,0.039666667,0.005906682,0.098333333,0.015456031,0.113,0.015641824,0.786333333,0.003299832,0.517666667,0.004109609,26.63333333,0.205480467,RB,3
150,0.544333333,0.003681787,0.044333333,0.006182412,0.107666667,0.015923428,0.123,0.016391054,0.771,0.003559026,0.497333333,0.004189935,34.3,0.244948974,RB,3
195,0.529666667,0.004189935,0.048333333,0.006944222,0.115333333,0.017745109,0.130333333,0.017745109,0.751666667,0.003299832,0.472333333,0.003299832,43.4,0.374165739,RB,3
260,0.503666667,0.004496913,0.052666667,0.007408704,0.119,0.01805547,0.134666667,0.017594191,0.715333333,0.004988877,0.426666667,0.004496913,54.96666667,0.531245915,RB,3
345,0.463333333,0.006128259,0.056333333,0.008498366,0.116333333,0.018909139,0.131666667,0.018803073,0.658333333,0.007133645,0.362666667,0.006599663,67.2,0.898146239,RB,3
440,0.419,0.008286535,0.057,0.008640988,0.109,0.016673332,0.124333333,0.016539515,0.593333333,0.009809293,0.300333333,0.006944222,77.4,1.525341492,RB,3
556,0.367333333,0.009177267,0.057333333,0.009104334,0.099333333,0.01575507,0.114333333,0.016539515,0.519,0.011518102,0.239666667,0.006944222,85.73333333,2.120272519,RB,3
690,0.315,0.009626353,0.056666667,0.008806563,0.09,0.0143527,0.104333333,0.014817407,0.444,0.012569805,0.188666667,0.006599663,91.33333333,2.819377394,RB,3
844,0.267,0.009416298,0.055,0.009201449,0.081333333,0.013224556,0.095333333,0.013960261,0.375333333,0.012684198,0.148,0.005887841,94.6,3.353605025,RB,3
1007,0.225666667,0.009104334,0.055,0.009201449,0.076333333,0.013224556,0.089333333,0.013912425,0.316666667,0.01203698,0.117666667,0.004784233,95.36666667,3.795904225,RB,3
1207,0.186666667,0.007586538,0.056,0.009273618,0.073666667,0.012364825,0.086666667,0.013767918,0.261666667,0.009741093,0.092333333,0.003771236,94.5,3.849675311,RB,3
