PAR,Y(II),Y(II)StDev,Y(NPQ),Y(NPQ)StDev,NPQ,NPQStDev,qN,qNStDev,qP,qPStDev,qL,qLStDev,ETR,ETRStDev,Light,Rep
345,0.443666667,0.009843215,0.067,0.007348469,0.137333333,0.013888444,0.153666667,0.013474255,0.646333333,0.013199327,0.364333333,0.012684198,64.3,1.430617582,RGB,2
440,0.396,0.009416298,0.074333333,0.008178563,0.139666667,0.015542058,0.156333333,0.015151091,0.577,0.012832251,0.3,0.010198039,73.13333333,1.759419096,RGB,2
556,0.341666667,0.008576454,0.08,0.009416298,0.138666667,0.016819301,0.155,0.016872068,0.498333333,0.011585431,0.237666667,0.007717225,79.83333333,2.003885115,RGB,2
690,0.289333333,0.007363574,0.086,0.010708252,0.138,0.017378147,0.154,0.016573071,0.421666667,0.009533566,0.186333333,0.005249339,83.9,2.127596453,RGB,2
844,0.242666667,0.006128259,0.091,0.011518102,0.136333333,0.018553227,0.153,0.018184242,0.353,0.008286535,0.146,0.003559026,85.93333333,2.166923062,RGB,2
1007,0.203666667,0.005312459,0.094666667,0.012472191,0.135,0.018708287,0.151666667,0.018354533,0.296666667,0.006599663,0.116666667,0.002624669,86.13333333,2.163844316,RGB,2
1207,0.167666667,0.004496913,0.100333333,0.012918548,0.137,0.019252705,0.153333333,0.018571184,0.244333333,0.005436502,0.091666667,0.001885618,84.93333333,2.166923062,RGB,2
1414,0.139666667,0.003681787,0.105333333,0.013474255,0.139666667,0.018909139,0.156,0.019026298,0.203333333,0.004642796,0.074333333,0.001699673,82.76666667,2.135935912,RGB,2
1689,0.111666667,0.002867442,0.112666667,0.014383633,0.145333333,0.019938795,0.161333333,0.019754043,0.162666667,0.003399346,0.057666667,0.001247219,79.1,1.96468827,RGB,2
1995,0.088666667,0.002054805,0.120666667,0.014974052,0.153333333,0.02131249,0.169,0.020215506,0.129666667,0.002624669,0.045,0.000816497,74.46666667,1.730767331,RGB,2
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RGB,2
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RGB,3
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RGB,3
0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RGB,3
0,0.721,0.00244949,0,0,0,0,0,0,1,0,1,0,0,0,RGB,3
1,0.695666667,0.003858612,0.010666667,0.002494438,0.036,0.008041559,0.044333333,0.009285592,0.974666667,0.000942809,0.916666667,0.000942809,0.3,0,RGB,3
2,0.696333333,0.004784233,0.007,0.00294392,0.022333333,0.010077478,0.027666667,0.012119773,0.971333333,0.001247219,0.906333333,0.003681787,0.6,0,RGB,3
11,0.666,0.008286535,0.008333333,0.002624669,0.025666667,0.008013877,0.031666667,0.010143416,0.930333333,0.007760298,0.792333333,0.017969109,3.066666667,0.047140452,RGB,3
31,0.600666667,0.023697163,0.01,0.003741657,0.025666667,0.008956686,0.032333333,0.010656245,0.838666667,0.02866279,0.599666667,0.05067763,7.833333333,0.329983165,RGB,3
55,0.575333333,0.022484563,0.016333333,0.004921608,0.040333333,0.011440668,0.049666667,0.013474255,0.807,0.026981475,0.547,0.040472213,13.3,0.496655481,RGB,3
80,0.563666667,0.018660713,0.023,0.006164414,0.055666667,0.013912425,0.066666667,0.016006943,0.794,0.020542639,0.528333333,0.028075296,18.96666667,0.590668172,RGB,3
114,0.55,0.015577762,0.029666667,0.007133645,0.069666667,0.016213849,0.082666667,0.018354533,0.777333333,0.015326085,0.506,0.018384776,26.36666667,0.731816613,RGB,3
150,0.540333333,0.011813363,0.034333333,0.00837987,0.08,0.019510681,0.093666667,0.021296844,0.765666667,0.010208929,0.490666667,0.009568467,34.03333333,0.758653778,RGB,3
195,0.523333333,0.008259674,0.038333333,0.008178563,0.087,0.019612921,0.101666667,0.021452791,0.742666667,0.00518545,0.461,0.001632993,42.83333333,0.684754619,RGB,3
260,0.490333333,0.004714045,0.041333333,0.008730534,0.088666667,0.01887385,0.103,0.020542639,0.696666667,0.001885618,0.404666667,0.004921608,53.53333333,0.543650214,RGB,3
345,0.442666667,0.002494438,0.044,0.009201449,0.085333333,0.019344824,0.099666667,0.021013223,0.628666667,0.001885618,0.333333333,0.006798693,64.13333333,0.368178701,RGB,3
440,0.391333333,0.001699673,0.044333333,0.010143416,0.078666667,0.01887385,0.092333333,0.020757863,0.554666667,0.004189935,0.268,0.007071068,72.3,0.374165739,RGB,3
556,0.336,0.002160247,0.044,0.010614456,0.071666667,0.018153665,0.084666667,0.020270394,0.475666667,0.004988877,0.21,0.006377042,78.53333333,0.555777733,RGB,3
690,0.284,0.002160247,0.042333333,0.010842304,0.063666667,0.016739839,0.076,0.019096247,0.401333333,0.004921608,0.163,0.004966555,82.4,0.64807407,RGB,3
844,0.237,0.002160247,0.042,0.011343133,0.058666667,0.016048537,0.070666667,0.01887385,0.334333333,0.004496913,0.127666667,0.004027682,84.03333333,0.758653778,RGB,3
1007,0.198333333,0.001885618,0.042333333,0.010873004,0.056,0.014899664,0.067333333,0.017249799,0.28,0.004082483,0.101333333,0.003091206,84,0.848528137,RGB,3
1207,0.162666667,0.002357023,0.044,0.011430952,0.056,0.014988885,0.067,0.017146428,0.229,0.004082483,0.079666667,0.002624669,82.46666667,1.087300429,RGB,3
1414,0.134666667,0.001699673,0.047333333,0.011728408,0.058,0.015121728,0.07,0.017281975,0.189666667,0.003681787,0.064,0.002160247,79.96666667,1.096458947,RGB,3
1689,0.108,0.001414214,0.052333333,0.011728408,0.062,0.015121728,0.074333333,0.016819301,0.152333333,0.002867442,0.049333333,0.001699673,76.5,1.067707825,RGB,3
1995,0.086,0.001414214,0.059666667,0.011264497,0.07,0.013735599,0.083333333,0.016048537,0.121666667,0.002494438,0.039,0.001632993,72.13333333,1.329995823,RGB,3
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RGB,3
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RGB,4
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RGB,4
0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RGB,4
0,0.718666667,0.003399346,0,0,0,0,0,0,1,0,1,0,0,0,RGB,4
1,0.691333333,0.001885618,0.011,0.001414214,0.037666667,0.00518545,0.046333333,0.006128259,0.972333333,0.001885618,0.911,0.007118052,0.3,0,RGB,4
2,0.691666667,0.001699673,0.01,0.002160247,0.034,0.005887841,0.042,0.00725718,0.972333333,0.002624669,0.91,0.008485281,0.6,0,RGB,4
