Wavelength,RGB
546.371,0.54
546.728,0.52
547.085,0.51
547.441,0.49
547.798,0.48
548.154,0.46
548.511,0.45
548.867,0.43
549.223,0.42
549.58,0.41
549.936,0.39
550.292,0.39
550.648,0.38
551.005,0.37
551.361,0.37
551.717,0.35
552.073,0.33
552.429,0.34
552.785,0.33
553.141,0.31
553.497,0.31
553.853,0.29
554.208,0.3
554.564,0.29
554.92,0.27
555.276,0.27
555.631,0.27
555.987,0.26
556.343,0.26
556.698,0.25
557.054,0.24
557.409,0.23
557.764,0.22
558.12,0.23
558.475,0.22
558.831,0.22
559.186,0.2
559.541,0.2
559.896,0.2
560.251,0.2
560.606,0.19
560.962,0.18
561.317,0.19
561.672,0.19
562.027,0.17
562.381,0.17
562.736,0.17
563.091,0.16
563.446,0.15
563.801,0.15
564.155,0.15
564.51,0.15
564.865,0.14
565.219,0.14
565.574,0.14
565.929,0.13
566.283,0.13
566.637,0.13
566.992,0.13
567.346,0.12
567.701,0.11
568.055,0.12
568.409,0.11
568.763,0.11
569.117,0.1
569.472,0.1
569.826,0.1
570.18,0.1
570.534,0.09
570.888,0.1
571.242,0.09
571.596,0.09
571.949,0.08
572.303,0.09
572.657,0.09
573.011,0.08
573.364,0.08
573.718,0.08
574.072,0.07
574.425,0.07
574.779,0.08
575.132,0.08
575.486,0.08
575.839,0.07
576.193,0.07
576.546,0.07
576.899,0.07
577.252,0.06
577.606,0.06
577.959,0.06
578.312,0.07
578.665,0.06
579.018,0.06
579.371,0.06
579.724,0.07
580.077,0.06
580.43,0.06
580.783,0.06
581.136,0.06
581.489,0.06
581.841,0.05
582.194,0.06
582.547,0.05
582.899,0.06
583.252,0.06
583.604,0.06
583.957,0.07
584.309,0.07
584.662,0.06
585.014,0.05
585.366,0.06
585.719,0.06
586.071,0.05
586.423,0.06
586.775,0.06
587.128,0.06
587.48,0.07
587.832,0.07
588.184,0.06
588.536,0.06
588.888,0.07
589.24,0.07
589.591,0.06
589.943,0.07
590.295,0.07
590.647,0.07
590.998,0.07
591.35,0.06
591.702,0.08
592.053,0.07
592.405,0.06
592.756,0.08
593.108,0.09
593.459,0.08
593.811,0.08
594.162,0.1
594.513,0.09
594.865,0.1
595.216,0.1
595.567,0.11
595.918,0.1
596.269,0.11
596.62,0.11
596.971,0.1
597.322,0.11
597.673,0.12
598.024,0.11
598.375,0.13
598.726,0.13
599.076,0.14
599.427,0.14
599.778,0.15
600.129,0.15
600.479,0.15
600.83,0.16
601.18,0.16
601.531,0.19
601.881,0.19
602.232,0.19
602.582,0.19
602.932,0.21
603.283,0.22
603.633,0.23
603.983,0.23
604.333,0.24
604.683,0.23
605.033,0.27
605.383,0.28
605.733,0.28
606.083,0.29
606.433,0.32
606.783,0.32
607.133,0.34
607.483,0.37
607.833,0.38
608.182,0.37
608.532,0.41
608.882,0.45
609.231,0.46
609.581,0.47
609.93,0.5
610.28,0.53
610.629,0.53
610.979,0.57
611.328,0.61
611.677,0.63
612.027,0.67
612.376,0.7
612.725,0.75
613.074,0.77
613.423,0.81
613.772,0.84
614.121,0.88
614.47,0.94
614.819,0.97
615.168,1.05
615.517,1.06
615.866,1.15
616.215,1.2
616.563,1.26
616.912,1.32
617.261,1.37
617.609,1.46
617.958,1.54
618.306,1.61
618.655,1.64
619.003,1.71
619.352,1.79
619.7,1.84
620.048,2
620.397,2.05
620.745,2.12
621.093,2.17
621.441,2.28
621.789,2.39
622.137,2.46
622.486,2.54
622.834,2.62
623.181,2.73
623.529,2.8
623.877,2.92
624.225,3.02
624.573,3.12
624.921,3.2
625.268,3.29
625.616,3.43
625.964,3.47
626.311,3.61
626.659,3.67
627.006,3.74
627.354,3.81
627.701,3.88
628.048,3.91
628.396,3.96
628.743,3.97
629.09,3.94
629.438,3.95
629.785,3.94
630.132,3.93
630.479,3.86
630.826,3.76
631.173,3.72
631.52,3.59
631.867,3.47
632.214,3.35
632.561,3.17
632.907,3.06
633.254,2.87
633.601,2.7
633.948,2.5
634.294,2.34
634.641,2.2
634.987,2.04
635.334,1.87
635.68,1.79
636.027,1.65
636.373,1.48
636.719,1.41
637.066,1.32
637.412,1.21
637.758,1.16
638.104,1.09
638.45,0.99
638.797,0.94
639.143,0.88
639.489,0.81
639.835,0.8
640.18,0.73
640.526,0.7
640.872,0.67
641.218,0.62
641.564,0.61
641.909,0.55
642.255,0.52
642.601,0.49
642.946,0.48
643.292,0.46
643.637,0.42
643.983,0.4
644.328,0.39
644.674,0.35
645.019,0.34
645.364,0.33
645.71,0.3
646.055,0.28
646.4,0.26
646.745,0.26
647.09,0.23
647.435,0.22
647.78,0.2
648.125,0.18
648.47,0.18
648.815,0.17
649.16,0.16
649.504,0.15
649.849,0.15
650.194,0.14
650.539,0.12
650.883,0.12
651.228,0.11
651.572,0.1
651.917,0.1
652.261,0.09
652.606,0.08
652.95,0.08
653.294,0.08
653.639,0.07
653.983,0.08
654.327,0.07
654.671,0.07
655.015,0.05
655.359,0.06
655.703,0.06
656.047,0.05
656.391,0.05
656.735,0.04
657.079,0.05
657.423,0.04
657.767,0.05
658.11,0.05
658.454,0.03
658.798,0.05
659.141,0.04
659.485,0.04
659.828,0.03
660.172,0.03
660.515,0.02
660.859,0.02
661.202,0.03
661.545,0.03
661.889,0.02
662.232,0.02
662.575,0.03
662.918,0.02
663.261,0.03
663.604,0.04
663.947,0.02
664.29,0.02
664.633,0.02
664.976,0.02
665.319,0.01
665.662,-0.01
666.005,0.02
666.347,0
666.69,0.02
667.033,0.01
667.375,0.02
667.718,0.01
668.06,0.01
668.403,0.01
668.745,0.02
669.087,0.02
669.43,0.02
669.772,0.01
670.114,0.02
670.457,0.02
670.799,0.03
671.141,0.01
671.483,0.01
671.825,0.01
672.167,0.01
672.509,0.01
672.851,-0.01
673.193,0
673.534,0.01
673.876,0.01
674.218,0.01
674.56,0.01
674.901,0.02
675.243,0.01
675.584,-0.01
675.926,0.01
676.267,0.01
676.609,0.01
676.95,0.01
677.291,0
677.633,0
677.974,0.02
678.315,0.02
678.656,0
678.998,0.01
679.339,0
679.68,0.02
680.021,0.01
680.362,0
680.703,0.02
681.043,0.02
681.384,0.02
681.725,0.01
682.066,0.01
682.406,0
682.747,0.02
683.088,0
683.428,0
683.769,0.01
684.109,0.02
684.45,0
684.79,0
685.13,0
685.471,0.01
685.811,0.02
686.151,-0.01
686.491,0
686.832,0.02
687.172,0.02
687.512,0.01
687.852,0.01
688.192,0.03
688.532,0.03
688.871,0.01
689.211,0.01
689.551,0.02
689.891,0.01
690.23,-0.01
690.57,0.01
690.91,0.01
691.249,0.02
691.589,0
691.928,0.01
692.268,0
692.607,0.01
692.946,0.01
693.286,0.01
693.625,0
693.964,0.01
694.303,0.01
694.643,0
694.982,0
695.321,0.01
695.66,0.01
695.999,0.02
696.338,0.01
696.676,0.02
697.015,0.03
697.354,0.01
697.693,0.01
698.032,0.01
698.37,0.01
698.709,0.01
699.047,0
699.386,0.01
699.724,0.02
700.063,0.01
700.401,0
700.74,0.01
