Treatment,Fv/Fm(Av),Fv/Fm(StDev),Time
RGB,0.683,0.012,14.355
RGB,0.68,0.016,14.52
RGB,0.68,0.016,14.685
RGB,0.68,0.016,14.85
RGB,0.68,0.016,15.015
RGB,0.68,0.016,15.18
RGB,0.677,0.012,15.345
RGB,0.68,0.016,15.51
RGB,0.68,0.016,15.675
RGB,0.673,0.012,15.84
RGB,0.673,0.012,16.005
RB,0.653,0.024,0
RB,0.653,0.024,0.165
RB,0.657,0.026,0.33
RB,0.657,0.026,0.495
RB,0.657,0.026,0.66
RB,0.657,0.026,0.825
RB,0.657,0.026,0.99
RB,0.657,0.026,1.155
RB,0.657,0.026,1.32
RB,0.657,0.026,1.485
RB,0.647,0.026,1.65
RB,0.657,0.026,1.815
RB,0.657,0.026,1.98
RB,0.663,0.025,2.145
RB,0.667,0.026,2.31
RB,0.667,0.026,2.475
RB,0.667,0.026,2.64
RB,0.667,0.026,2.805
RB,0.667,0.026,2.97
RB,0.667,0.026,3.135
RB,0.663,0.025,3.3
RB,0.66,0.022,3.465
RB,0.657,0.026,3.63
RB,0.657,0.026,3.795
RB,0.657,0.026,3.96
RB,0.657,0.026,4.125
RB,0.657,0.026,4.29
RB,0.657,0.026,4.455
RB,0.657,0.026,4.62
RB,0.657,0.026,4.785
RB,0.657,0.026,4.95
RB,0.657,0.026,5.115
RB,0.66,0.022,5.28
RB,0.66,0.022,5.445
RB,0.66,0.022,5.61
RB,0.66,0.022,5.775
RB,0.663,0.025,5.94
RB,0.663,0.025,6.105
RB,0.667,0.026,6.27
RB,0.667,0.026,6.435
RB,0.667,0.026,6.6
RB,0.667,0.026,6.765
RB,0.667,0.026,6.93
RB,0.67,0.022,7.095
RB,0.67,0.022,7.26
RB,0.67,0.022,7.425
RB,0.67,0.022,7.59
RB,0.67,0.022,7.755
RB,0.67,0.022,7.92
RB,0.67,0.022,8.085
RB,0.677,0.026,8.25
RB,0.67,0.022,8.415
RB,0.67,0.022,8.58
RB,0.673,0.025,8.745
RB,0.677,0.026,8.91
RB,0.677,0.026,9.075
RB,0.677,0.026,9.24
RB,0.677,0.026,9.405
RB,0.677,0.026,9.57
RB,0.68,0.022,9.735
RB,0.677,0.026,9.9
RB,0.68,0.022,10.065
RB,0.677,0.026,10.23
RB,0.677,0.026,10.395
RB,0.677,0.026,10.56
RB,0.677,0.019,10.725
RB,0.677,0.026,10.89
RB,0.68,0.022,11.055
RB,0.677,0.019,11.22
RB,0.68,0.022,11.385
RB,0.677,0.019,11.55
RB,0.677,0.019,11.715
RB,0.68,0.022,11.88
RB,0.68,0.022,12.045
RB,0.68,0.022,12.21
RB,0.68,0.022,12.375
RB,0.68,0.022,12.54
RB,0.683,0.017,12.705
RB,0.683,0.017,12.87
RB,0.683,0.017,13.035
RB,0.69,0.022,13.2
RB,0.693,0.017,13.365
RB,0.693,0.017,13.53
RB,0.693,0.017,13.695
RB,0.693,0.017,13.86
RB,0.693,0.017,14.025
RB,0.693,0.017,14.19
RB,0.69,0.022,14.355
RB,0.69,0.022,14.52
RB,0.69,0.022,14.685
RB,0.69,0.022,14.85
RB,0.687,0.019,15.015
RB,0.683,0.017,15.18
RB,0.683,0.017,15.345
RB,0.683,0.017,15.51
RB,0.683,0.017,15.675
RB,0.68,0.022,15.84
RB,0.68,0.022,16.005
